Rank,Chain,Market_Cap_USD,TVL_USD,Staking_Ratio_%,Staking_APY_low_%,Staking_APY_high_%,Futures_OI_USD,Vesting_2026_Est_USD,Vesting_2027_Est_USD,Vesting_2028_Est_USD,Vesting_2029_2030_Est_USD,Unlock_Risk,Rating
1,Ethereum,$257B,$55.9B,30.2%,3.5%,5.0%,$12.0B,$4.2B,$2.8B,$1.5B,Ongoing (LST/restake),Low,AAA
2,BSC,$89.6B,$6.0B,11.0%,7.0%,8.0%,$2.8B,$2.1B,$1.6B,$1.2B,$800M,Medium,AA
3,Solana,$52.1B,$6.3B,70.0%,5.9%,8.1%,$3.5B,$1.8B,$1.4B,$1.1B,$900M,Medium,AA+
4,Tron,$27.0B,$8.3B,45.0%,20.0%,20.0%,$800M,$900M,$700M,$500M,$400M,Medium,A-
5,Avalanche,$9.0B,$1.6B,49.4%,6.7%,7.6%,$600M,$800M,$600M,$400M,$250M,Low,AA
6,Polkadot,$6.5B,$400M,55.0%,10.0%,12.0%,$140M,$500M,$400M,$300M,$200M,Low,A-
7,Cardano,$9.6B,$200M,65.0%,3.0%,5.0%,$150M,$600M,$500M,$400M,Ongoing,Low,B+
8,TON,$3.2B,$260M,22.0%,4.0%,6.0%,$110M,$1.8B,$1.4B,$900M,$600M,HIGH 🔴,A
9,ASI Chain,~$3.5B,~$2.4M,TBD,TBD,TBD,$180M,$1.2B,$900M,$500M,$300M,Low,AA (AI) ★
10,Arbitrum,$3.5B,$3.4B,N/A (L2),N/A,N/A,$1.1B,$2.2B,$800M (ends),—,—,HIGH 🔴,A
11,Sui,$3.4B,$800M,60.0%,8.0%,12.0%,$400M,$1.5B,$1.3B,$1.0B,$700M,Med-High 🟠,A+
12,Scroll,~$4B (FDV),$300M,N/A (L2),N/A,N/A,$80M,$500M,$400M,$250M,$150M,Medium,A-
13,Base,~$15B (FDV),$4.0B,N/A (L2),N/A,N/A,$950M,$1.9B,$1.1B,$700M,$400M,Medium,AA-
14,Optimism,$2.8B,$800M,N/A (L2),N/A,N/A,$350M,$1.2B,$900M,$600M,$400M,Medium,A
15,Mantle,$1.4B,$230M,4.5%,4.5%,4.5%,$100M,$800M,$600M,$400M,$200M,Medium,A
16,Near,$1.6B,$700M,40.0%,8.5%,10.0%,$220M,$450M,$300M,$200M,$150M,Low,A-
17,Aptos,$1.8B,$300M,35.0%,8.0%,11.0%,$190M,$600M,$350M,$200M,10yr community,Med-High 🟠,A-
18,Kava,$600M,$260M,50.0%,12.0%,15.0%,$70M,$150M,$100M,$50M,$30M,Low,B
19,Sei,$1.2B,$50M,35.0%,2.3%,5.0%,$90M,$400M,$300M,$200M,$100M,Medium,B
20,Blast,$1.2B,$220M,4.0%,4.0%,4.0%,$150M,$400M,$300M,$200M,$100M,Medium,B+
